Molecular-Printed Thermochromic with Fast Color Switching,"['Cho, Sungjun', 'Kim, Gwangmook', 'Lee, Sooun', 'Park, Jinwoo', 'Shim, Wooyoung']",ADVANCED OPTICAL MATERIALS,5,23,DEC 1 2017,wshim@yonsei.ac.kr,"Yonsei Univ, Dept Mat Sci & Engn, Seoul 120749, South Korea.","['Materials Science', 'Optics']","['molecular printing', 'reflective displays', 'thermochromic']","['POLYMER PEN LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'HEAT-TRANSFER', 'ULTRAFAST', 'DISPLAY', 'FILMS', 'NANOLITHOGRAPHY', 'NANOFABRICATION', 'LUMINESCENCE', 'ARRAYS']","[['National Research Foundation of Korea Grant - Korean Government', 'ERC-2015R1A5A1037668']]"
Attoliter Chemistry for Nanoscale Functionalization of Graphene,"['Hirtz, Michael', 'Varey, Sarah', 'Fuchs, Harald', 'Vijayaraghavan, Aravind']",ACS APPLIED MATERIALS & INTERFACES,8,49,DEC 14 2016,michael.hirtz@kit.edu; aravind@manchester.ac.uk,"Karlsruhe Inst Technol KIT, Inst Nanotechnol INT, D-76344 Eggenstein Leopoldshafen, Germany.","['Science & Technology - Other Topics', 'Materials Science']","['graphene', 'click-chemistry', 'CuAAC', 'dip-pen nanolithography (DPN)', 'microchannel cantilever spotting (mu CS)']","['DIP-PEN NANOLITHOGRAPHY', 'SURFACE PATTERNING TOOLS', 'CLICK CHEMISTRY', 'TERMINAL ALKYNES', 'ARRAYS', 'FORCE', 'LITHOGRAPHY', 'SINGLE', 'AZIDES']","[['EPSRC Northwest Nanoscience Centre for Doctoral Training grant', 'EP/L01548X/1'], ['EPSRC', 'EP/K009451/1\xa0\nEP/G035954/1']]"
Ultrathin high-resolution flexographic printing using nanoporous stamps,"['Kim, Sanha', 'Sojoudi, Hossein', 'Zhao, Hangbo', 'Mariappan, Dhanushkodi', 'McKinley, Gareth H.', 'Gleason, Karen K.', 'Hart, A. John']",SCIENCE ADVANCES,2,12,Dec-16,ajhart@mit.edu,"MIT, Dept Mech Engn, Cambridge, MA 02139 USA.",['Science & Technology - Other Topics'],[],"['CARBON NANOTUBE ARRAYS', 'DIP-PEN NANOLITHOGRAPHY', 'TRANSPARENT ELECTRODES', 'MECHANICAL-PROPERTIES', 'GRAPHENE FILMS', 'IN-SITU', 'SEMICONDUCTOR', 'TRANSISTORS', 'PERFORMANCE', 'SURFACE']","[['Massachusetts Institute of Technology (MIT) Department of Mechanical Engineering', ''], ['NSF', 'CMMI-1463181'], ['Air Force Office of Scientific Research', 'FA9550-11-1-0089'], ['NIH', '1R21HL114011-01A1']]"
Scalable Fabrication of Multiplexed Plasmonic Nanoparticle Structures Based on AFM Lithography,"['Chen, Jianmei', 'Sun, Yinghui', 'Zhong, Liubiao', 'Shao, Weijing', 'Huang, Jing', 'Liang, Feng', 'Cui, Zequn', 'Liang, Zhiqiang', 'Jiang, Lin', 'Chi, Lifeng']",SMALL,12,42,NOV 9 2016,ljiang@suda.edu.cn; chilf@suda.edu.cn,"Soochow Univ, Jiangsu Key Lab Carbon Based Funct Mat & Devices, Inst Funct Nano & Soft Mat FUNSOM, Suzhou 215123, Jiangsu, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['DIP-PEN NANOLITHOGRAPHY', 'ATOMIC-FORCE MICROSCOPE', 'SCANNING PROBE LITHOGRAPHY', 'NOBLE-METAL NANOPARTICLES', 'LIGHT-EMITTING-DIODES', 'GOLD NANOPARTICLES', 'BLACK SPOTS', 'NANOSTRUCTURES', 'SURFACES', 'DNA']","[['National Natural Science Foundation of China', '21373144\xa0\n91227201'], ['Natural Science Foundation of Jiangsu Province', 'BK20150007\xa0\nBK20151228\xa0\nBK20130287\xa0\nBK20140353'], ['Collaborative Innovation Center of Suzhou Nano Science Technology', ''], ['Priority Academic Program Development of Jiangsu Higher Education Institutions (PAPD)', '']]"
Click-Chemistry Based Allergen Arrays Generated by Polymer Pen Lithography for Mast Cell Activation Studies,"['Kumar, Ravi', 'Bonicelli, Alice', 'Sekula-Neuner, Sylwia', 'Cato, Andrew C. B.', 'Hirtz, Michael', 'Fuchs, Harald']",SMALL,12,38,OCT 12 2016,michael.hirtz@kit.edu,"Karlsruhe Inst Technol, Inst Nanotechnol INT, D-76201 Karlsruhe, Germany.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['allergen arrays', 'mast cell activation', 'microarrays', 'microfluidics', 'polymer pen lithography']","['PATTERNED LIPID-BILAYERS', 'GROWING APPLICATIONS', 'PLASMA-MEMBRANE', 'SOLID-PHASE', 'NANOLITHOGRAPHY', 'PLATFORM']","[['German Science Foundation', 'Ca 130/13-2'], ['Karlsruhe Nano Micro Facility (KNMF)', ''], ['Helmholtz Research Infrastructure at Karlsruhe Institute of Technology (KIT)', '']]"
Reactions in ultra-small droplets by tip-assisted chemistry,"['Guardingo, M.', 'Busque, F.', 'Ruiz-Molina, D.']",CHEMICAL COMMUNICATIONS,52,78,OCT 7 2016,mireia.guardingo@gmail.com; dani.ruiz@icn2.cat,"CSIC, Catalan Inst Nanosci & Nanotechnol ICN2, Campus UAB, Barcelona 08193, Spain.",['Chemistry'],[],"['DIP-PEN NANOLITHOGRAPHY', 'METAL-ORGANIC FRAMEWORKS', 'BLOCK-COPOLYMER LITHOGRAPHY', 'SCANNING PROBE LITHOGRAPHY', 'NANOSCALE COORDINATION POLYMERS', 'SELF-ASSEMBLED MONOLAYERS', 'GOLD NANOPARTICLES', 'CLICK CHEMISTRY', 'SEGMENTED-FLOW', 'MICROFLUIDIC APPROACH']","[['CSIC for a predoctoral grant (JAEpre)', ''], ['Spanish Government', 'MAT2015-70615-R\xa0\nCTQ201341161-R'], ['FEDER funds', ''], ['Severo Ochoa Program (MINECO)', 'SEV-2013-0295']]"
Producing Collagen Nano-fibril Arrays by the Molecular Broom Mechanism of Atomic Force Microscopic Tip,"['Sun Ming', 'Hong Wei', 'Shu Jing', 'Li Li']",CHINESE JOURNAL OF ANALYTICAL CHEMISTRY,44,10,Oct-16,msun@njust.edu; lili@njust.edu.cn,"Nanjing Univ Sci & Technol, Sch Elect Engn & Optoelect Technol, Nanjing 210094, Jiangsu, Peoples R China.",['Chemistry'],"['Collagen', 'Atomic force microscope', 'Molecular broom mechanism', 'Nano-fibril', 'Top-down']","['EMISSIONS', 'POLYMERS', 'SURFACES', 'CRYSTAL', 'PROTEIN', 'WATER', 'MICA']","[['National Natural Science Foundation of China', '51303082']]"
Large-Scale Direct Patterning of Aligned Single-Walled Carbon Nanotube Arrays Using Dip-Pen Nanolithography,"['Lee, Jae-Hyeok', 'Najeeb, Choolakadavil Khalid', 'Nam, Gwang-Hyeon', 'Shin, Yonghun', 'Lim, Jung-Hyurk', 'Kim, Jae-Ho']",CHEMISTRY OF MATERIALS,28,18,SEP 27 2016,jae-hyeok.lee@northwestern.edu; jhkim@ajou.ac.kr,"Northwestern Univ, Dept Mat Sci & Engn, 2220 Campus Dr, Evanston, IL 60208 USA.","['Chemistry', 'Materials Science']",[],"['POLYMER COMPOSITES', 'LITHOGRAPHY', 'ELECTRONICS', 'FABRICATION', 'TRANSISTORS', 'ALIGNMENT', 'FILMS', 'NANOPARTICLES', 'ORIENTATION', 'DEPOSITION']","[['Basic Science Research Program through the National Research Foundation of Korea (NRF) - Ministry of Education', 'NRF-2009-0093826']]"
Structure-Function Relationships for Surface-Enhanced Raman Spectroscopy-Active Plasmonic Paper,"['Ross, Michael B.', 'Ashley, Michael J.', 'Schmucker, Abrin L.', 'Singamaneni, Srikanth', 'Naik, Rajesh R.', 'Schatz, George C.', 'Mirkin, Chad A.']",JOURNAL OF PHYSICAL CHEMISTRY C,120,37,SEP 22 2016,rajesh.naik@us.af.mil; g-schatz@northwestern.edu; chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science']",[],"['NANOPARTICLE DIMERS', 'OPTICAL-PROPERTIES', 'SILVER ELECTRODE', 'PEN LITHOGRAPHY', 'SINGLE-MOLECULE', 'SCATTERING SERS', 'HOT-SPOTS', 'NANOSTRUCTURES', 'RESONANCE', 'CLUSTERS']","[['Air Force Office of Scientific Research', 'FA9550-11-1-0275\xa0\nFA9550-09-1-0294'], ['Air Force Research laboratory', 'FA8650-15-2-5518'], ['Department of the Navy, Office of Naval Research', 'N00014-11-1-0729'], [""National Science Foundation's MRSEC program"", 'DMR-1121262'], ['NDSEG graduate fellowship', ''], ['NSF graduate research fellowship', ''], [""National Research Council's Research Associateship Award"", ''], ['Office of the Provost', ''], ['Office for Research', ''], ['Northwestern University Information Technology', ''], ['MRSEC program at the Materials Research Center', 'NSF DMR-1121262'], ['International Institute for Nanotechnology', ''], ['State of Illinois, through the IIN', '']]"
Surface patterning of polyacrylamide gel using scanning electrochemical cell microscopy (SECCM),"['Oseland, Elizabeth E.', 'Ayres, Zoe J.', 'Basile, Andrew', 'Haddleton, David M.', 'Wilson, Paul', 'Unwin, Patrick R.']",CHEMICAL COMMUNICATIONS,52,64,AUG 18 2016,p.wilson.1@warwick.ac.uk; p.r.unwin@warwick.ac.uk,"Univ Warwick, Dept Chem, Gibbet Hill Rd, Coventry CV4 7AL, W Midlands, England.",['Chemistry'],[],"['TRANSFER RADICAL POLYMERIZATION', 'OXYGEN REDUCTION', 'FABRICATION', 'POLYMERS', 'BRUSHES', 'WATER', 'LITHOGRAPHY', 'SITES']","[['EPSRC', ''], ['Syngenta UK', ''], ['Leverhulme Trust', ''], [""Australian Government's Endeavour Fellowships and Scholarships Programme"", '']]"
Flexure-based dynamic-tunable five-axis nanopositioner for parallel nanomanufacturing,"['Li, Chenglin', 'Wang, Ji', 'Chen, Shih-Chi']",PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,45,UNDEFINED,Jul-16,scchen@mae.cuhk.edu.hk,"Chinese Univ Hong Kong, Dept Mech & Automat Engn, Shatin, Hong Kong, Peoples R China.","['Engineering', 'Science & Technology - Other Topics', 'Instruments & Instrumentation']","['Compliant mechanism', 'Dynamic-tuning', 'Multi-axis nanopositioner', 'Parallel nanomanufacturing']","['DATA-STORAGE', 'MECHANISM', 'DESIGN']","[['HKSAR Innovation and Technology Commission under the Innovation and Technology Fund: Design and Control of Flexure-Based Multi-Axis Nanopositioners for Ultra Precision Applications', 'ITS/262/12']]"
Polyelemental nanoparticle libraries,"['Chen, Peng-Cheng', 'Liu, Xiaolong', 'Hedrick, James L.', 'Xie, Zhuang', 'Wang, Shunzhi', 'Lin, Qing-Yuan', 'Hersam, Mark C.', 'Dravid, Vinayak P.', 'Mirkin, Chad A.']",SCIENCE,352,6293,JUN 24 2016,chadnano@northwestern.edu,"Northwestern Univ, Dept Mat Sci & Engn, Evanston, IL 60208 USA.",['Science & Technology - Other Topics'],[],"['BLOCK-COPOLYMER LITHOGRAPHY', 'AU-FE3O4 NANOPARTICLES', 'DIRECTED SYNTHESIS', 'NANOCRYSTALS', 'OXIDATION', 'NANOSTRUCTURES', 'PARTICLES', 'SURFACES', 'GROWTH', 'ALLOY']","[['GlaxoSmithKline', ''], ['Air Force Office of Scientific Research', 'FA9550-12-1-0141'], ['Asian Office of Aerospace RD', 'FA2386-13-1-4124'], ['Ryan Fellowship', ''], ['Northwestern University International Institute for Nanotechnology', ''], ['Materials Research Science and Engineering Center of Northwestern University', 'NSF DMR-1121262'], ['Air Force Research Laboratory', ''], ['National Science Foundation under the Ceramics program', ''], ['U.S. Department of Defense through the National Defense Science & Engineering Graduate Fellowship Program', ''], ['Soft and Hybrid Nanotechnology Experimental (SHyNE) Resource', 'NSF NNCI-1542205']]"
Nanocapillary Atmospheric Pressure Plasma Jet: A Tool for Ultrafine Maskless Surface Modification at Atmospheric Pressure,"['Motrescu, Iuliana', 'Nagatsu, Masaaki']",ACS APPLIED MATERIALS & INTERFACES,8,19,MAY 18 2016,tmnagat@ipc.shizuoka.ac.jp,"Shizuoka Univ, Grad Sch Sci & Technol, Naka Ku, 3-5-1 Johoku, Hamamatsu, Shizuoka 4328561, Japan.","['Science & Technology - Other Topics', 'Materials Science']","['nanocapillary atmospheric pressure plasma jets', 'functionalized patterning', 'amine group', 'biosensors']","['MICRO', 'RESOLUTION', 'CAPILLARY', 'CHEMISTRY']","[['Japan Society for the Promotion of Science', '21110010\xa0\n25246029']]"
Microelectromechanical Parallel Scanning Nanoprobes for Nanolithography,"['Kumar, Varun', 'Mehdizadeh, Emad', 'Pourkamali, Siavash']",IEEE TRANSACTIONS ON NANOTECHNOLOGY,15,3,May-16,vxk120630@utdallas.edu; emehdiza@andrew.cmu.edu; siavash.pourkamali@utdallas.edu,"Univ Texas Dallas, Dept Elect Engn, Richardson, TX 75080 USA.","['Engineering', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['High throughput', 'integrated nanotips', 'nanolithography', 'two-degree-of-freedom']","['DIP-PEN NANOLITHOGRAPHY', 'PROBE LITHOGRAPHY', 'DATA-STORAGE', 'NANOSTRUCTURES', 'ACTUATORS', 'MILLIPEDE', 'TIP']","[['National Science Foundation', '1344047']]"
Bio-Inspired Renewable Surface-Initiated Polymerization from Permanently Embedded Initiators,"['Du, Tao', 'Li, Bin', 'Wang, Xiaolong', 'Yu, Bo', 'Pei, Xiaowei', 'Huck, Wilhelm T. S.', 'Zhou, Feng']",ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,55,13,MAR 18 2016,zhouf@licp.cas.cn,"Chinese Acad Sci, Lanzhou Inst Chem Phys, State Key Lab Solid Lubricat, Lanzhou 730000, Peoples R China.",['Chemistry'],"['bio-inspiration', 'patterns', 'polymer brushes', 'renewable materials', 'surface-initiated polymerization']","['SELF-ASSEMBLED MONOLAYERS', 'TRANSFER RADICAL POLYMERIZATION', 'BRUSHES', 'POLY(DIMETHYLSILOXANE)', 'FABRICATION', 'POLYMERS', 'FILMS']","[['NSFC', '21434009\xa0\n51573198']]"
Hard Transparent Arrays for Polymer Pen Lithography,"['Hedrick, James L.', 'Brown, Keith A.', 'Kluender, Edward J.', 'Cabezas, Maria D.', 'Chen, Peng-Cheng', 'Mirkin, Chad A.']",ACS NANO,10,3,Mar-16,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem & Biol Engn, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science']","['atomic force microscopy', 'scanning probe lithography', 'dip-pen nanolithography', 'polymer pen lithography', 'polydimethylsiloxane', 'plasma-enhanced chemical vapor deposition']","['BLOCK-COPOLYMER LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'TIP ARRAYS', 'DIRECTED SYNTHESIS', 'FEATURE SIZE', 'THIN-FILMS', 'NANOLITHOGRAPHY', 'NANOPARTICLES', 'SURFACES']","[['AFOSR Awards', 'FA9550-12-1-0141\xa0\nFA9550-12-1-0280'], ['Air Force Research Laboratory', 'FA8650-15-2-5518'], ['Center for Cancer Nanotechnology Excellence (CCNE) initiative of National Institutes of Health (NIH)', 'U54CA151880\xa0\nU54CA199091'], ['Department of Defense (DoD) through National Defense Science & Engineering Graduate Fellowship (NDSEG) Program', ''], [""Northwestern University's International Institute for Nano technology (IIN)"", ''], ['Ryan Fellowship', ''], ['IIN', ''], ['State of Illinois', ''], ['Northwestern University', '']]"
Liquid-Phase Beam Pen Lithography,"['He, Shu', 'Xie, Zhuang', 'Park, Daniel J.', 'Liao, Xing', 'Brown, Keith A.', 'Chen, Peng-Cheng', 'Zhou, Yu', 'Schatz, George C.', 'Mirkin, Chad A.']",SMALL,12,8,FEB 24 2016,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['BLOCK-COPOLYMER LITHOGRAPHY', 'DIRECTED SYNTHESIS', 'CLICK CHEMISTRY', 'GLYCAN ARRAYS', 'TIP', 'NANOPARTICLES', 'SURFACES', 'FABRICATION', 'FORCE']","[['AFOSR', 'FA9550-12-1-0280'], ['National Science Foundation', 'DBI-1353682'], ['National Science Foundation/University of Pittsburgh', 'DMB-1124131'], ['Office of Naval Research', 'N00014-11-1-0729'], ['Center for Bio-Inspired Energy Science (CBES), an Energy Frontier Research Center - U.S. Department of Energy, Office of Science, Basic Energy Sciences', 'DE-SC0000989-0002'], [""Northwestern University's International Institute for Nanotechnology (IIN)"", ''], ['Ryan Fellowship', ''], ['IIN', ''], ['MRSEC program at the Materials Research Center', 'NSF DMR-1121262'], ['State of Illinois, through the IIN', ''], ['State of Illinois', ''], ['Northwestern University', ''], ['Department of the Navy', '']]"
Suspended Planar-Array Chips for Molecular Multiplexing at the Microscale,"['Torras, Nuria', 'Pablo Agusil, Juan', 'Vazquez, Patricia', 'Duch, Marta', 'Hernandez-Pinto, Alberto M.', 'Samitier, Josep', 'de la Rosa, Enrique J.', 'Esteve, Jaume', 'Suarez, Teresa', 'Perez-Garcia, Lluisa', 'Plaza, Jose A.']",ADVANCED MATERIALS,28,7,FEB 17 2016,joseantonio.plaza@imb-cnm.csic.es,"CSIC, IMB CNM, C dels Tillers,Campus UAB Cerdanyola Valles, Barcelona 08193, Spain.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['chip-in-a-cell', 'suspended-arrays', 'planar-arrays', 'silicon chips', 'single-cell analysis']","['POLYMER-PEN LITHOGRAPHY', 'SILICON CHIPS', 'LIVING CELLS', 'MICROPARTICLES', 'PARTICLES', 'MICROARRAYS', 'PROTEIN', 'MICROCARRIERS', 'TECHNOLOGIES', 'ANISOTROPY']","[['EU ERDF (FEDER) funds', ''], ['Spanish Government', 'TEC2011-29140-C03-01/02\xa0\nTEC2014-51940-C2-1/2'], ['FSE', '']]"
Protein patterning by microcontact printing using pyramidal PDMS stamps,"['Filipponi, Luisa', 'Livingston, Peter', 'Kaspar, Ondrej', 'Tokarova, Viola', 'Nicolau, Dan V.']",BIOMEDICAL MICRODEVICES,18,1,Feb-16,dan.nicolau@mcgill.ca,"Swinburne Univ Technol, Ind Res Inst Swinburne, Fac Engn & Ind Sci, POB 218, Hawthorn, Vic 3122, Australia.","['Engineering', 'Science & Technology - Other Topics']","['Poly(dimethylsiloxane) microstructures', 'Protein patterning', 'Microcontact printing', 'Soft-lithography', 'Protein microarrays']","['SELF-ASSEMBLED MONOLAYERS', 'SOFT LITHOGRAPHY', 'MICROARRAY', 'AFM', 'MICROSTRUCTURES', 'SURFACES', 'CELLS', 'GOLD', 'POLY(DIMETHYLSILOXANE)', 'DEFORMATION']","[['Nanotechnology Victoria', ''], ['DEST International Science Linkages Program', 'CG090203'], ['European FP6 Programme project Charged Particle Nanotechnology (CHARPAN)', '15803'], ['Canadian Foundation for Innovation (CFI) project BioNanoFactory', '']]"
Functional protein micropatterning for drug design and discovery,"['You, Changjiang', 'Piehler, Jacob']",EXPERT OPINION ON DRUG DISCOVERY,11,1,JAN 2 2016,piehler@uos.de,"Univ Osnabruck, Dept Biol, Div Biophys, D-49076 Osnabruck, Germany.",['Pharmacology & Pharmacy'],"['cell patterning', 'membrane protein', 'protein array', 'protein immobilization', 'protein interaction', 'surface micropatterning']","['DIP-PEN NANOLITHOGRAPHY', 'SURFACE-PLASMON RESONANCE', 'POLYMER-SUPPORTED MEMBRANES', 'RECEPTOR TYROSINE KINASES', 'SELF-ASSEMBLED MONOLAYERS', 'CELL BIOLOGY', 'COVALENT IMMOBILIZATION', 'MULTIVALENT CHELATORS', 'GOLD NANOPARTICLES', 'COUPLED-RECEPTORS']","[['Deutsche Forschungsgemeinschaft (DFG)', '']]"
Nanotechnology,"['Luttge, Regina', 'Luttge, R']","NANO- AND MICROFABRICATION FOR INDUSTRIAL AND BIOMEDICAL APPLICATIONS, 2ND EDITION",UNDEFINED,UNDEFINED,2016,UNDEFINED,"Univ Cent Lancashire, Preston, Lancs, England.","['Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['DIP-PEN NANOLITHOGRAPHY', 'EXTREME-ULTRAVIOLET LITHOGRAPHY', 'LASER-INTERFERENCE LITHOGRAPHY', 'BLOCK-COPOLYMER LITHOGRAPHY', 'ELECTRON-BEAM LITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYER', 'OXIDE THIN-FILM', 'NANOIMPRINT LITHOGRAPHY', 'INTERFEROMETRIC LITHOGRAPHY', 'DNA NANOARCHITECTURES']",[]
"Towards scanning probe lithography-based 4D nanoprinting by advancing surface chemistry, nanopatterning strategies, and characterization protocols","['Liu, Xiaoming', 'Carbonell, Carlos', 'Braunschweig, Adam B.']",CHEMICAL SOCIETY REVIEWS,45,22,2016,adam.braunschweig@asrc.cuny.edu,"Univ Miami, Dept Chem, Coral Gables, FL 33146 USA.",['Chemistry'],[],"['POLYMER-PEN LITHOGRAPHY', 'TRANSFER RADICAL POLYMERIZATION', 'SELF-ASSEMBLED MONOLAYERS', 'ATOMIC-FORCE MICROSCOPY', 'ELECTRON-BEAM LITHOGRAPHY', 'DIELS-ALDER REACTIONS', 'OPENING METATHESIS POLYMERIZATION', 'TRACELESS STAUDINGER LIGATION', 'ENE CLICK CHEMISTRY', 'EXTRACELLULAR-MATRIX']","[['Department of Defense (MURI)', '15RT0675'], ['National Science Foundation', 'DBI-1353823']]"
Multi-color polymer pen lithography for oligonucleotide arrays,"['Kumar, R.', 'Weigel, S.', 'Meyer, R.', 'Niemeyer, C. M.', 'Fuchs, H.', 'Hirtz, M.']",CHEMICAL COMMUNICATIONS,52,83,2016,michael.hirtz@kit.edu,"Karlsruhe Inst Technol, Inst Nanotechnol INT, D-76344 Eggenstein Leopoldshafen, Germany.",['Chemistry'],[],"['DNA-DIRECTED IMMOBILIZATION', 'PROTEIN ARRAYS', 'MICROARRAYS', 'NANOLITHOGRAPHY', 'BIOLOGY', 'FABRICATION', 'SYSTEMS']","[['Karlsruhe Nano Micro Facility (KNMF)', ''], ['Helmholtz Research Infrastructure at Karlsruhe Institute of Technology (KIT)', ''], ['Helmholtz programme BioInterfaces in Technology and Medicine', '']]"
Liquid-bridge stability and breakup on surfaces with contact-angle hysteresis,"['Akbari, Amir', 'Hill, Reghan J.']",SOFT MATTER,12,32,2016,aakbari@mit.edu; reghan.hill@mcgill.ca,"McGill Univ, Dept Chem Engn, 3610 Univ St, Montreal, PQ H3A 0C5, Canada.","['Chemistry', 'Materials Science', 'Physics', 'Polymer Science']",[],"['DIP-PEN NANOLITHOGRAPHY', 'CAPILLARY BRIDGES', 'LITHOGRAPHY', 'INSTABILITY', 'LINES', 'FOLDS', 'FLOW']","[['NSERC Innovative Green Wood Fibre Products Network', ''], ['McGill Engineering Doctoral Award', '']]"
Self-limiting multiplexed assembly of lipid membranes on large-area graphene sensor arrays,"['Hirtz, Michael', 'Oikonomou, Antonios', 'Clark, Nick', 'Kim, Yong-Jin', 'Fuchs, Harald', 'Vijayaraghavan, Aravind']",NANOSCALE,8,33,2016,michael.hirtz@kit.edu; aravind@manchester.ac.uk,"Karlsruhe Inst Technol, Inst Nanotechnol INT, D-76021 Karlsruhe, Germany.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['DIP-PEN NANOLITHOGRAPHY', 'LITHOGRAPHY', 'MICROARRAYS', 'FILMS', 'INK']","[['EPSRC', 'EP/G03737X/1\xa0\nEP/G035954/1']]"
"Ultrahigh resolution, serial fabrication of three dimensionally-patterned protein nanostructures by liquid-mediated non-contact scanning probe lithography","['Gan, Tiansheng', 'Wu, Bo', 'Zhou, Xuechang', 'Zhang, Guangzhao']",RSC ADVANCES,6,55,2016,mswubo@scut.edu.cn; xczhou@szu.edu.cn,"S China Univ Technol, Fac Mat Sci & Engn, Guangzhou 510640, Guangdong, Peoples R China.",['Chemistry'],[],"['DIP-PEN NANOLITHOGRAPHY', 'ACTIVATED POLYMER SURFACE', 'ELECTRON-BEAM LITHOGRAPHY', 'ATOMIC-FORCE MICROSCOPY', 'NANODISPLACEMENT LITHOGRAPHY', 'ARRAYS', 'DNA', 'BIOMOLECULES', 'STRATEGIES', 'PLATFORM']","[['Ministry of Science and Technology of China', '2012CB933802'], ['National Natural Science Foundation of China', '21234003\xa0\n21404072'], ['Shenzhen Science and Technology Foundation', 'JCYJ20140418182819116'], ['Natural Science Foundation of SZU', '827000040\xa0\n201447']]"
Direct and reversible immobilization and microcontact printing of functional proteins on glass using a genetically appended silica-binding tag,"['Coyle, Brandon L.', 'Baneyx, Francois']",CHEMICAL COMMUNICATIONS,52,43,2016,UNDEFINED,"Univ Washington, Dept Chem Engn, Box 351750, Seattle, WA 98195 USA.",['Chemistry'],[],"['GREEN FLUORESCENT PROTEIN', 'MOLECULAR BIOMIMETICS', 'INORGANIC MATERIALS', 'CLICK CHEMISTRY', 'PEPTIDE', 'SURFACE', 'LITHOGRAPHY', 'POLYPEPTIDE', 'GOLD']","[['Office of Naval Research', 'BRC-11123566']]"
Optimization of 4D polymer printing within a massively parallel flow-through photochemical microreactor,"['Liu, Xiaoming', 'Zheng, Yeting', 'Peurifoy, Samuel R.', 'Kothari, Ezan A.', 'Braunschweig, Adam B.']",POLYMER CHEMISTRY,7,19,2016,a.braunschweig@miami.edu,"Univ Miami, Dept Chem, Coral Gables, FL 33146 USA.",['Polymer Science'],[],"['BEAM PEN LITHOGRAPHY', 'CLICK CHEMISTRY', 'GLYCAN ARRAYS', 'NANOLITHOGRAPHY', 'SURFACES', 'FORCE', 'PROBE', 'FABRICATION', 'PATTERNS', 'KINETICS']","[['Department of Defense', 'MURI 15RT0675'], ['National Science Foundation', 'DBI-1353823']]"
